           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
   15-puzzle.in        15               1         36                16     5.50              34          34                 8         610870         1158504              0           1158504     0.19 
  adrienl_01.in         7              26        198               122   126.22              20          20                13         928836         5244375              0           5244387    25.23 
  adrienl_02.in         8               7        198               108  1083.54               0          31                22       53249338       316923284              0         316923285   529.10 
  adrienl_03.in         7              43        198               133  1576.78              22          22                10       25312818       121513514              0         121513516   698.15 
  adrienl_04.in         9               1        144                68   278.46               0          34                24       68644449       306296950            528         306296951    37.75 
  adrienl_05.in         4              64        198               131    96.49              12          12                 7          14570           58492              0             58493     0.68 
   adrien_01.in         3              54        144                77    35.13               7           7                 6             11              47              0                49     0.00 
   adrien_02.in         5              13        144                81    15.32              17          17                10         202184          779308              0            779318     2.07 
   adrien_03.in         6              31        144                75    38.99              12          12                 9            948            7935              0              7940     0.06 
   adrien_04.in        10              16        198               119  1755.12               0          25                18       22261253       235346896            537         235346897   935.35 
   adrien_05.in        10              13        180               108  1710.92               0          27                22       21981778       254887527           3207         254887528   950.98 
   adrien_06.in         6              15        144                81    25.67              15          15                11          25504          203164              0            203176     0.74 
   atomix_01.in         3              17        110                45     4.76              13          13                 8            299             506              0               508     0.00 
   atomix_02.in         5               6        154                61     4.18              21          21                17           6115           23510              0             23511     0.03 
   atomix_03.in         6               4        169                65     5.48              16          16                12          15947           98619              0             98626     0.08 
   atomix_04.in         6               2        143                60    16.83              23          23                15        2383951        10522376              0          10522377     3.84 
   atomix_05.in         9               2        182                80   412.63               0          36                28       46120122       299893784              9         299893785   137.94 
   atomix_06.in         8               4         36                16     3.15              13          13                12            144            1198              0              1202     0.00 
   atomix_07.in         9               1        169                79   143.72              27          27                19       25732001       182427452            878         182427457    21.40 
   atomix_08.in        12               1        156                81   243.94               0          34                30       26806874       305054925           2364         305054926    40.76 
   atomix_09.in         7               1        110                49     5.67              20          20                11         487192         2788599             31           2788601     0.29 
   atomix_10.in        10               2        156                82   403.46               0          29                23       29656220       303045057          20371         303045058   143.08 
   atomix_11.in         5              14        169                83    10.98              14          14                10           1315            7230              0              7236     0.02 
   atomix_12.in         9               4         36                16     3.49              14          14                12            145            1348              0              1350     0.00 
   atomix_13.in         8               1        110                49     4.70              28          28                24         232656         1639852              0           1639858     0.17 
   atomix_14.in        12               1        168                94   225.29               0          35                31       23068501       304220910            471         304220911    40.13 
   atomix_15.in        12               1        156                89   238.50               0          36                32       25396093       305054925              8         305054926    40.66 
   atomix_16.in         9               2        156                73   430.45               0          28                20       43822955       303045057           1974         303045058   140.06 
   atomix_17.in        15               1        168                90   258.26               0          36                32       14758443       271448978           3135         271448979    48.60 
   atomix_18.in         8               4         36                16     2.94              13          13                10            538            4560              0              4568     0.00 
   atomix_19.in        15               1        156                65   209.12               0          29                24       18288011       272344446           5655         272344447    47.10 
   atomix_20.in        14               1        143                68    41.14              29          29                25        3237692        49941509            514          49941511     8.13 
   atomix_21.in        12               2        182               108   581.18               0          31                27       19813849       297766054           1916         297766055   159.39 
   atomix_22.in         8               3        182                85   507.59              27          27                18       43667757       285841110            460         285841114   197.07 
   atomix_23.in         4              20        168                82    14.30              10          10                 8            182            1036              0              1042     0.00 
   atomix_24.in        16               1        100                32   235.61               0          30                24       21427547       274993682           7681         274993683    50.19 
   atomix_25.in        14               2        182               101   429.48               0          36                31       14912778       266422259            157         266422260   178.80 
   atomix_26.in         4              17        182               102    23.47              14          14                 7           7333           28097              0             28098     0.11 
   atomix_27.in        20               1        182                84   317.01               0          46                43        8010741       243632382          10065         243632383    53.55 
   atomix_28.in        10               1        132                65    47.93              29          29                21        8059479        57510862             12          57510869     6.99 
   atomix_29.in         8               2        182                79     6.37              22          22                18          82277          820281              0            820284     0.36 
   atomix_30.in         8               4         36                16     3.49              13          13                10            538            4560              0              4568     0.00 
      kai_01.in         3               9        100                39     4.36               9           9                 4            139             420              0               421     0.00 
      kai_02.in         5               2        132                54     3.44              24          24                16          76838          264542              0            264549     0.09 
      kai_03.in         6               4        169                65     5.42              16          16                12          11549           75147              0             75152     0.06 
      kai_05.in         8               2        132                67   161.55              27          27                18       21182757       112036370            837         112036375    50.77 
      kai_06.in         4              16        143                72     9.38              14          14                 9           3251           12209              0             12217     0.04 
      kai_07.in        12               1        156                81   254.05               0          33                29       28872141       305054925             56         305054926    41.90 
      kai_08.in        12               1        169                72   226.03               0          36                32       27008396       304145754            570         304145755    40.13 
      kai_09.in        10               1        180                78   226.31               0          35                29       33453849       304287998           1275         304287999    36.85 
      kai_11.in         5               7        132                52     4.43              15          15                11           4289           22531              0             22539     0.03 
      kai_12.in        15               1        182                97   208.51               0          36                32       13410755       270229775           2017         270229776    48.18 
      kai_14.in        14               2        182                76   455.37               0          41                38       17650360       266422259              0         266422260   176.12 
      kai_17.in         8               3        169                80     8.71              23          23                19         148725         1487604              0           1487605     0.98 
      kai_18.in        12               1        182                89   195.76               0          35                30       18165428       303085379              0         303085380    40.02 
      kai_19.in         4              21        156                73    12.64              19          19                13          16708           42928              0             42933     0.19 
      kai_20.in        12               1        196                90   216.65               0          38                33       23378932       301760995             14         301760996    39.89 
      kai_21.in        14               1        225               101   220.55               0          42                39       21647371       266948451            216         266948452    41.66 
      kai_22.in        12               1        169                85   233.39               0          33                29       25530033       304145754            426         304145755    40.33 
      kai_24.in        14               1        210                79   209.45               0          40                37       15817560       268629734            475         268629735    44.40 
      kai_25.in        14               1        210                95   217.24               0          33                28       16228028       268629734             95         268629735    47.66 
      kai_27.in        19               1        225               112   201.67               0          60                58        7349143       238270325            120         238270326    49.54 
      kai_28.in        16               1        225               106   190.56               0          46                43       11197475       265149932              0         265149933    45.00 
      kai_29.in        21               1        210                87   193.37               0          63                61        8050427       218287650              0         218287651    48.22 
  katomic_01.in         3              23         99                49     5.93              15          15                 8            429             776              0               779     0.00 
  katomic_02.in         5              10        143                64     6.33              27          27                18          73408          196333              0            196336     0.38 
  katomic_03.in         6               4        156                66     6.72              20          20                14         160443          844107              0            844108     0.67 
  katomic_04.in         6               8        121                45     5.78              23          23                15          95533          349523              0            349525     0.58 
  katomic_05.in         9               2        132                52    15.16              27          27                21        1219923         9224646            193           9224655     4.29 
  katomic_06.in         9               1        144                50    90.60              27          27                15       19595229       107848255            315         107848259    12.72 
  katomic_07.in        12               8        169                68   407.16              24          24                18        7333370        86821315            608          86821321   210.82 
  katomic_08.in         7               1        121                61   105.23              26          26                14       28366478       121805065           6573         121805066    14.00 
  katomic_09.in        10               1        169                81   159.87              32          32                24       25634929       215171586           4772         215171590    26.05 
  katomic_10.in         5               8        169                84     7.32              19          19                16            804            4107              0              4110     0.01 
  katomic_11.in         8               4        121                71   132.78              23          23                17        7468213        65402272              0          65402276    59.31 
  katomic_12.in        12               8        169                93  1285.45               0          35                28       34165156       274333110            933         274333111   652.80 
  katomic_13.in        12               1        169                87   208.04               0          41                38       21853015       304145754             55         304145755    39.74 
  katomic_14.in         9               1        169                85   239.47               0          28                20       42805148       304997544           2003         304997545    36.57 
  katomic_15.in        15               1        169                87   297.90               0          35                31       19333503       271368284           1848         271368285    48.87 
  katomic_16.in        15               1        169                69   196.21               0          43                39       16311474       271368284          21852         271368285    47.54 
  katomic_17.in        14               2        143                73   463.71               0          33                27       17905203       271323881          20604         271323882   202.06 
  katomic_18.in        12               4        169                90  1064.25               0          46                44       22215150       291368907          22850         291368908   324.11 
  katomic_19.in         8               2        195               103   442.35               0          31                22       43430479       340627481             51         340627482   148.56 
  katomic_20.in         4              16        169                83    11.13              18          18                13           2510            6548              0              6550     0.02 
  katomic_21.in        16               1        144                32   248.37               0          26                20       24389423       273112223          12826         273112224    52.15 
  katomic_22.in        14               4        169                90   779.81               0          32                26       17586221       260698495            663         260698496   415.01 
  katomic_23.in         4              32        169                93    29.94              18          18                 8          14405           35147              0             35154     0.26 
  katomic_24.in        20              10        195               115  2711.68               0          36                33        7706436       200228450            913         200228451   626.72 
  katomic_25.in        10               1        143                73   226.41               0          35                29       35240315       306340557             65         306340558    36.59 
  katomic_26.in         7               3        169                81    96.93              36          36                27       15110401        52268694              0          52268698    32.90 
  katomic_27.in        12               1        169                81   207.64               0          47                43       24022902       304145754              0         304145755    39.72 
  katomic_28.in        12               1        169                73   247.26               0          37                32       32483551       304145754             24         304145755    40.53 
  katomic_29.in        15               1        169                71   206.23               0          56                54       19006287       271368284              0         271368285    43.24 
  katomic_30.in        21               1        169                72   210.76               0          53                51       10193705       222914632           1672         222914633    52.76 
  katomic_31.in         8               2        121                54    27.37              29          29                20        3298207        19353664              0          19353667     8.32 
  katomic_32.in         9               5         81                25     5.56              19          19                14          94744          866662              0            866662     1.04 
  katomic_33.in        10               4        169                72   703.69               0          51                43       40524426       294776066          48602         294776067   308.16 
  katomic_34.in        13               1        169                96   198.61               0          37                32       16783572       272130411              0         272130412    39.91 
  katomic_35.in        10               1         99                47   228.14               0          34                28       42617267       307719786              0         307719787    35.99 
  katomic_36.in         3              21        143                52     6.33               9           9                 4            269             878              0               881     0.00 
  katomic_37.in        24               1        225               134   238.74               0          55                52        6387136       214579699              0         214579700    50.25 
  katomic_38.in         9               1        169                89   258.07               0          34                22       52899566       304997544              0         304997545    35.15 
  katomic_39.in        17               1        169                77   186.64               0          47                43       13792310       245523685              0         245523686    46.23 
  katomic_40.in        16               1        121                61   244.71               0          58                52       25717271       274262729          86763         274262730    45.23 
  katomic_41.in        15               4        169                81   799.55               0          34                30       14801139       257649984             33         257649985   379.61 
  katomic_42.in        12               1        121                51   271.17               0          34                29       33190936       306841561            604         306841562    41.15 
  katomic_43.in        26               1        169                86   205.76               0          64                63        6302044       204502244              0         204502245    51.72 
  katomic_44.in        21               1        156                65   199.98               0          50                47       10499648       223989824              0         223989825    52.17 
  katomic_45.in        14               1        156                63   182.72               0          40                37       16273705       272943880              0         272943881    41.90 
  katomic_46.in         7               3        143                53     5.26              24          24                19         119559          612528              0            612532     0.40 
  katomic_47.in        11               1        121                60     4.30              29          29                27          44661          745551              0            745556     0.09 
  katomic_48.in        17               1        169                79   183.99               0          57                54       11543168       245523685            260         245523686    49.11 
  katomic_49.in        18               1        143                71   209.50               0          46                42       13049871       246736743            189         246736744    46.65 
  katomic_50.in        17               2        121                61   482.94               0          42                36       16534291       246623988              3         246623989   189.82 
  katomic_51.in        16               1        169                82   214.48               0          39                35       16750558       271368284            142         271368285    49.90 
  katomic_52.in        19               1        169                84   208.79               0          54                52       11515988       244834141              0         244834142    49.35 
  katomic_53.in        16               2         63                35   544.37               0          26                20       16245264       275467277          12324         275467278   224.34 
  katomic_54.in        16               1        169                81   204.14               0          36                31       16100419       271368284              0         271368285    47.28 
  katomic_55.in        15               1        169                83   214.56               0          48                44       19738210       271368284             88         271368285    44.33 
  katomic_56.in        15               1        169                79   197.72               0          50                45       18069828       271368284              0         271368285    42.67 
  katomic_57.in         5               3        132                45     3.34              21          21                16          19786           74820              0             74823     0.04 
  katomic_58.in         6               3        121                60     4.37              17          17                13          11764           81068              0             81074     0.05 
  katomic_59.in        16               4        121                49   719.86               0          27                22       12087673       269227766              0         269227767   406.28 
  katomic_60.in         7               4        121                54     5.21              19          19                15          28846          192898              0            192906     0.16 
  katomic_61.in        10               2        117                58   422.88               0          54                48       45361745       306143603            876         306143604   142.92 
  katomic_62.in        12               1        225                96   211.16               0          51                46       25172531       298354152             54         298354153    39.22 
  katomic_63.in        12               2        143                70   436.88               0          41                33       35034352       303244338            303         303244339   157.72 
  katomic_64.in        16               2        195                98   516.74               0          53                50       20276620       261891813              0         261891814   204.88 
  katomic_65.in        17               1         81                25   203.82               0          31                26       26436814       249205429              0         249205430    42.62 
  katomic_66.in        11               1        169                78   218.78               0          32                26       26810829       304997544              4         304997545    39.49 
  katomic_67.in        12               2        121                54   454.13               0          32                25       33614342       305278419            386         305278420   160.28 
  marbles_01.in         4               2         64                21     3.47              11          11                 7            397            1066              0              1068     0.00 
  marbles_02.in         5               5         90                38     3.86              15          15                10           9215           41518              0             41525     0.04 
  marbles_03.in         4               5         99                39     3.32              22          22                10          31651           48478             91             48478     0.05 
  marbles_04.in         3              18        100                49     5.43              22          22                 5           1900            2631              0              2632     0.01 
  marbles_05.in         5               2         81                34     3.67              25          25                15          33526           77227              0             77232     0.03 
  marbles_06.in         5               3        120                41     3.12              14          14                12            521            2747              0              2751     0.00 
  marbles_08.in         6               3        100                48    12.27              23          23                12        1628737         4479404              0           4479404     2.74 
  marbles_10.in        16               1         48                20     4.59              24          24                16          11014           52131              9             52134     0.01 
  marbles_11.in         8               1        169                59    82.24              28          28                19       17303325        74674823           1458          74674825     8.82 
  marbles_12.in         6               3         84                40    47.41              28          28                13        9055368        19349865             58          19349869    12.84 
  marbles_13.in         3               3         64                27     3.18              18          18                 6           3383            3810              0              3810     0.00 
  marbles_14.in         6               1        110                27     3.74              22          22                17          14520           33230              0             33231     0.00 
  marbles_15.in        12               1        169                62   668.58               0          37                31       35815961       304145754             11         304145755    44.44 
  marbles_20.in        32               1         64                36  1157.29               0          37                28       38748028       193860340          16054         193860341    58.91 
 unitopia_01.in         3              41        128                68    17.88              11          11                 9             81             209              0               212     0.00 
 unitopia_02.in         4               5        128                62     4.12              22          22                14          37531           90373              0             90373     0.09 
 unitopia_03.in         5              12        128                56     4.99              16          16                14            706            4211              0              4217     0.01 
 unitopia_04.in         6               5        128                59     5.42              20          20                19           3197           22955              0             22960     0.02 
 unitopia_05.in         6               7        128                68    10.71              20          20                13         163353          840845              0            840845     1.22 
 unitopia_06.in         9               2        128                61   252.56              31          31                24       24372869       188846579           1006         188846580    87.22 
 unitopia_07.in        10               1        128                60   255.19               0          34                27       44928152       306924361            649         306924362    38.46 
