           Name   NumAtoms  NumFinalStates  BoardSize  NumFreePositions         Time  SolutionLength  LowerBound  NodesGenerated  NodesExpanded
   15-puzzle.in        15               1         36                16     11.42107              34          34        18544974        6009587
   adrien_01.in         3              54        144                77     24.40758               7           7            1960            330
   adrien_02.in         5              13        144                81     24.97874              17          17        34213263        2456375
   adrien_03.in         6              31        144                75      9.05531              12          12          178757          11970
   adrien_04.in        10              16        198               119   2469.98886               0          26     26246627989     1017094931
   adrien_05.in        10              13        180               108   3599.58512               0          29     25861552261     1024167310
   adrien_06.in         6              15        144                81     14.54275              15          15         3498205         214855
  adrienl_01.in         7              26        198               122     40.14731              20          20        78816970        4522601
  adrienl_02.in         8               7        198               108   2477.92053               0          32     16805451196      894261099
  adrienl_03.in         7              43        198               133    436.52949              22          22      4410931752      238729460
  adrienl_04.in         9               1        144                68    942.21683               0          35      6183418918      428391249
  adrienl_05.in         4              64        198               131    106.15048              12          12         3628062         299336
   atomix_01.in         3              17        110                45     29.74330              13          13           58677           9458
   atomix_02.in         5               6        154                61      5.09916              21          21          462713          46353
   atomix_03.in         6               4        169                65      4.23329              16          16         2709950         175199
   atomix_04.in         6               2        143                60     41.24683              23          23       402748325       28507754
   atomix_05.in         9               2        182                80    958.02798               0          37      7231035819      363666515
   atomix_06.in         8               4         36                16      1.44137              13          13           16474           1293
   atomix_07.in         9               1        169                79    681.28193              27          27      7145971824      356079418
   atomix_08.in        12               1        156                81   1456.61899               0          35      5199913554      184194659
   atomix_09.in         7               1        110                49      6.71286              20          20        38016381        2497729
   atomix_10.in        10               2        156                82   1302.45836               0          30      8418574703      348433156
   atomix_11.in         5              14        169                83     10.71741              14          14          202143          17968
   atomix_12.in         9               4         36                16      2.33878              14          14          137809          10749
   atomix_13.in         8               1        110                49     11.23471              28          28       113180852        6430548
   atomix_14.in        12               1        168                94   1250.74746               0          36      5229303059      182498775
   atomix_15.in        12               1        156                89   1628.21517               0          38     14644967781      504042737
   atomix_16.in         9               2        156                73   1938.26106              29          29     19847999624      981308861
   atomix_17.in        15               1        168                90   3600.39330               0          37      3967993394      114662253
   atomix_18.in         8               4         36                16      3.09095              13          13          123025           9892
   atomix_19.in        15               1        156                65   2045.07717               0          29      7368228301      249745553
   atomix_20.in        14               1        143                68   1629.00716              29          29      5368002759      187441571
