           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
   15-puzzle.in        15               1         36                16    25.37              34          34                 8        1995878         2244790              0           3875095     0.73 
  adrienl_01.in         7              26        198               122   267.20              20          20                13        2182640         4132154              0          18916747    96.99 
  adrienl_02.in         8               7        198               108  3600.46               0          31                22      107879019       124754552              0        1118944715  1977.15 
  adrienl_03.in         7              43        198               133  3600.25               0          21                10       26496286        37461854              0         252358307  1672.84 
  adrienl_04.in         9               1        144                68  1168.49               0          35                24      260856725       471636575           1012        1604741926   203.46 
  adrienl_05.in         4              64        198               131   108.75              12          12                 7          28710           51694              0            182537     2.38 
   adrien_01.in         3              54        144                77    42.93               7           7                 6             16              35              0                79     0.00 
   adrien_02.in         5              13        144                81    35.74              17          17                10         503036          826308              0           3137453     9.40 
   adrien_03.in         6              31        144                75    49.53              12          12                 9           2062            5317              0             22744     0.20 
   adrien_04.in        10              16        198               119  3600.26               0          25                18       26231112        53567365            804         434645070  2035.35 
   adrien_05.in        10              13        180               108  3600.46               0          27                22       30197675        36987497           4614         529496330  2138.48 
   adrien_06.in         6              15        144                81    34.26              15          15                11          51378          115598              0            549743     2.02 
   atomix_01.in         3              17        110                45     8.41              13          13                 8            902            1001              0              2144     0.01 
   atomix_02.in         5               6        154                61     7.52              21          21                17          16432           26296              0             79587     0.10 
   atomix_03.in         6               4        169                65     8.65              16          16                12          28286           64152              0            263335     0.22 
   atomix_04.in         6               2        143                60    58.71              23          23                15        6208476        10247690              0          42738175    16.32 
   atomix_05.in         9               2        182                80  3600.29               0          38                28      275728617       505735568            112        2902428089  1528.39 
   atomix_06.in         8               4         36                16     6.26              13          13                12            220             499              0              2078     0.00 
   atomix_07.in         9               1        169                79   413.00              27          27                19       63189050       138868942           1568         676050211    86.58 
   atomix_08.in        12               1        156                81  1154.12               0          35                30      112128057       367490381          17452        1830600618   271.28 
   atomix_09.in         7               1        110                49    18.74              20          20                11        1191859         1925656             59          10113036     1.16 
   atomix_10.in        10               2        156                82  3600.30               0          30                23      193590083       281088800          32033        2820340748  1557.48 
   atomix_11.in         5              14        169                83    15.86              14          14                10           2729            5450              0             19425     0.06 
   atomix_12.in         9               4         36                16     6.30              14          14                13            159             397              0              1627     0.00 
   atomix_13.in         8               1        110                49     8.10              28          28                24         279137          663180              0           2966321     0.34 
   atomix_14.in        12               1        168                94  1178.00               0          36                31      108620011       376856535           4603        1933585342   286.59 
   atomix_15.in        12               1        156                89  1041.12               0          37                32       93705877       357210505            420        1588183897   243.00 
   atomix_16.in         9               2        156                73  3600.30               0          28                20      247789555       309450508          13888        2787071226  1464.81 
   atomix_17.in        15               1        168                90  1959.08               0          37                32       89370036       335833181          17861        2248590522   448.52 
   atomix_18.in         8               4         36                16     8.02              13          13                10           1421            3155              0             13664     0.01 
   atomix_19.in        15               1        156                65  2276.43               0          30                23      166535315       417975619          12813        3487798453   702.53 
   atomix_20.in        14               1        143                68    57.55              29          29                25        3632004        15569698           1170          74852380    14.14 
   atomix_21.in        12               2        182               108  3153.33               0          32                27       89792540       346004620          34980        1693017687   975.65 
   atomix_22.in         8               3        182                85  1562.17              27          27                19       98047816       200496063           4473         964173458   721.00 
   atomix_23.in         4              20        168                82    18.98              10          10                 8            213             234              0              1621     0.01 
   atomix_24.in        16               1        100                32  3600.47               0          31                24      294760115       295230380         288054        5328592832  1026.42 
   atomix_25.in        14               2        182               101  2378.62               0          38                33       61276382       301631220           1580        1490163526  1174.38 
   atomix_26.in         4              17        182               102    29.28              14          14                 7          20192           30713              0            107191     0.46 
   atomix_27.in        20               1        182                84  3600.31               0          46                43       76460487       153244494          15353        2764902365   680.18 
   atomix_28.in        10               1        132                65    99.66              29          29                22       12710109        29018720           2390         152574727    20.73 
   atomix_29.in         8               2        182                79    11.52              22          22                18         192954          510351             32           2547245     1.26 
   atomix_30.in         8               4         36                16     4.99              13          13                10           1421            3155              0             13664     0.01 
      kai_01.in         3               9        100                39     9.61               9           9                 4            277             354              0              1070     0.00 
      kai_02.in         5               2        132                54     9.31              24          24                16         209448          305813              0            987970     0.35 
      kai_03.in         6               4        169                65    15.24              16          16                12          36585           80662              0            332181     0.28 
      kai_05.in         8               2        132                67   618.83              27          27                18       60850230       117549158           5209         516861790   243.90 
      kai_06.in         4              16        143                72    15.14              14          14                 9           8733           14154              0             46568     0.16 
      kai_07.in        12               1        156                81  1121.13               0          34                29      112361168       369044286            427        1745958418   263.96 
      kai_08.in        12               1        169                72  2471.39               0          37                32      244982484       514974190           3824        4249479989   628.58 
      kai_09.in        10               1        180                78  1292.27               0          36                29      168394653       416126581           3798        2234892895   294.85 
      kai_11.in         5               7        132                52     9.36              15          15                11           9335           18137              0             62535     0.10 
      kai_12.in        15               1        182                97  1681.37               0          37                32       96875996       343060898           4990        2817270742   516.90 
      kai_14.in        14               2        182                76  3600.32               0          42                38      103773918       283335614              0        2054209190  1608.45 
      kai_17.in         8               3        169                80    15.50              23          23                19         231425          800835              0           3340225     2.47 
      kai_18.in        12               1        182                89  1356.50               0          36                30      120645565       388143862              0        2591899633   381.06 
      kai_19.in         4              21        156                73    21.01              19          19                13          46482           62156              0            162834     0.83 
      kai_20.in        12               1        196                90  3299.22               0          39                33      299894584       342872260          28050        5675687022   848.00 
      kai_21.in        14               1        225               101   813.98               0          43                39       67588079       302784216            876        1199061717   211.90 
      kai_22.in        12               1        169                85  1786.32               0          35                29      173349104       438724458           1890        3008191241   447.65 
      kai_24.in        14               1        210                79  1021.21               0          41                37       73917047       315042905           2794        1560418984   292.29 
      kai_25.in        14               1        210                95  2443.66               0          35                28      168614655       421316393           1476        4294069045   766.69 
      kai_27.in        19               1        225               112  3600.27               0          60                58      132764385       136956353          11292        5202800116  1165.61 
      kai_28.in        16               1        225               106  1436.30               0          48                44       78654921       323016017              0        2426105632   485.73 
      kai_29.in        21               1        210                87  1393.99               0          64                61       52438107       258041067             56        1790898014   541.66 
  katomic_01.in         3              23         99                49    17.47              15          15                 8           1508            1715              0              3410     0.02 
  katomic_02.in         5              10        143                64    17.62              27          27                18         215018          282194              0            846273     1.96 
  katomic_03.in         6               4        156                66    15.82              20          20                14         243694          501705              0           1844390     1.82 
  katomic_04.in         6               8        121                45    21.00              23          23                15         323754          476726              0           1675107     2.90 
  katomic_05.in         9               2        132                52    49.71              27          27                21        3694818         9768607            454          38300773    19.15 
  katomic_06.in         9               1        144                50   279.12              27          27                15       49381874        82821011           5060         443343360    56.34 
  katomic_07.in        12               8        169                68  1644.31              24          24                18       21863083        65613937           1873         353076151   912.20 
  katomic_08.in         7               1        121                61   283.00              26          26                14       64562175       107277206          19871         420063165    49.04 
  katomic_09.in        10               1        169                81   534.79              33          33                25       71737421       182775858          20161         927600806   126.05 
  katomic_10.in         5               8        169                84    11.69              19          19                16           1969            3471              0             11985     0.02 
  katomic_11.in         8               4        121                71   278.53              23          23                17       10057606        15848519              0         133365817   137.78 
  katomic_12.in        12               8        169                93  3600.46               0          35                28       52923435        55901914           2388         798028401  2031.20 
  katomic_13.in        12               1        169                87  1270.37               0          42                38      132081958       391073597            156        2359483754   325.09 
  katomic_14.in         9               1        169                85  1306.40               0          29                19      228508142       450450487          28448        2221765091   266.20 
  katomic_15.in        15               1        169                87  3600.32               0          36                31      166626664       209313264          32886        3705245742   746.32 
  katomic_16.in        15               1        169                69  1058.03               0          44                39       91341043       326574603          66616        1751349764   311.67 
  katomic_17.in        14               2        143                73  3600.46               0          33                26      105308244       143648519          46960        2319227224  1859.94 
  katomic_18.in        12               4        169                90  3600.25               0          47                44       50970228       220795386          37469         878808355  1124.38 
