           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
   15-puzzle.in        15               1         36                16    18.99              34          34                 8        2067494         2325699              0           4022614     0.65 
  adrienl_01.in         7              26        198               122   190.89              20          20                13        3691982         3785087              0          40580487     3.28 
  adrienl_02.in         8               7        198               108  3127.91               0          33                22      652688726       898886004              0        6367244171   669.63 
  adrienl_03.in         7              43        198               133   931.70              22          22                10      157351749       180699406              0        1652105124    92.96 
  adrienl_04.in         9               1        144                68  1042.56               0          35                24      266447794       475706119           2270        1609191627   179.69 
  adrienl_05.in         4              64        198               131   251.46              12          12                 7         216884          224213              0           1754498     0.13 
   adrien_01.in         3              54        144                77    90.60               7           7                 6            288             296              0              1433     0.00 
   adrien_02.in         5              13        144                81    72.42              17          17                10        1924537         2028974              0          14261069     1.23 
   adrien_03.in         6              31        144                75    83.55              12          12                 9           2225            5464              0             25974     0.00 
   adrien_04.in        10              16        198               119  3600.55               0          26                18      455481188       455916892           7048        8210449109   814.21 
   adrien_05.in        10              13        180               108   783.93              28          28                22       85550330       140151414           6990        1479042480   177.23 
   adrien_06.in         6              15        144                81    57.83              15          15                11          73191          109606              0            892261     0.08 
   atomix_01.in         3              17        110                45    67.40              13          13                 8           5598            5661              0             16754     0.00 
   atomix_02.in         5               6        154                61    17.68              21          21                17          20637           28161              0            105580     0.01 
   atomix_03.in         6               4        169                65    15.64              16          16                12          66118           96992              0            654389     0.06 
   atomix_04.in         6               2        143                60    38.62              23          23                15        7615780        10969370              0          54896780     5.08 
   atomix_05.in         9               2        182                80  2110.53               0          38                28      394088471       647805985            225        4168644514   439.44 
   atomix_06.in         8               4         36                16     6.05              13          13                12            240             437              0              2688     0.00 
   atomix_07.in         9               1        169                79   336.58              27          27                19       59376655       130631347           2041         642035241    68.94 
   atomix_08.in        12               1        156                81  2264.03               0          35                30      233616394       358666426          19618        4272968995   553.97 
   atomix_09.in         7               1        110                49    13.08              20          20                11        1177497         1918478             65          10029756     0.99 
   atomix_10.in        10               2        156                82  3600.53               0          31                23      494858116       699355562         216798        7351096069   839.35 
   atomix_11.in         5              14        169                83    44.11              14          14                10           3694            4825              0             31098     0.00 
   atomix_12.in         9               4         36                16     7.89              14          14                12            731             981              0              8168     0.00 
