           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
   15-puzzle.in        15               1         36                16    17.10              34          34                10         560221          378994         405385           1058720    12.67 
  adrienl_01.in         7              26        198               122  1410.19              20          20                13        1224015          889773        1148904          13113546  1298.81 
  adrienl_02.in         8               7        198               108  3600.48               0          30                22        9568970         7461817        9120955         117663254  3308.14 
  adrienl_03.in         7              43        198               133  3600.48               0          19                10        1418996         1116401        1322917          18127416  3355.78 
  adrienl_04.in         9               1        144                68  3600.44               0          34                24      115549267        82985148      104016482         916147042  3079.79 
  adrienl_05.in         4              64        198               131    25.14              12          12                 7          16417           12427          15095            133007    15.53 
   adrien_01.in         3              54        144                77     6.39               7           7                 6             11              11             11                56     0.01 
   adrien_02.in         5              13        144                81    93.47              17          17                10         292565          204888         265429           2379249    80.29 
   adrien_03.in         6              31        144                75     7.85              12          12                 9           1119             947           1103             14569     1.33 
   adrien_04.in        10              16        198               119  3600.45               0          24                18        1920220         1630150        1882845          40138128  3378.67 
   adrien_05.in        10              13        180               108  3600.49               0          26                21        2332263         2088726        2303228          45292006  3386.04 
   adrien_06.in         6              15        144                81    23.36              15          15                11          34361           28755          33635            435725    17.36 
   atomix_01.in         3              17        110                45     4.07              13          13                 8            584             329            425              1544     0.05 
   atomix_02.in         5               6        154                61     4.52              21          21                17           9247            6839           8337             52696     0.91 
   atomix_03.in         6               4        169                65     8.37              16          16                12          15490           12918          15220            180303     2.14 
   atomix_04.in         6               2        143                60   219.69              23          23                15        3561703         2480330        3294534          30428611   189.03 
   atomix_05.in         9               2        182                80  3600.44               0          36                28       23119461        18447548       22246462         305213653  3316.62 
   atomix_06.in         8               4         36                16     3.50              13          13                12            153             140            153              1425     0.03 
   atomix_07.in         9               1        169                79  1745.92              27          27                19       30435706        23403155       29123180         406251220  1548.84 
   atomix_08.in        12               1        156                81  3600.43               0          35                31       28541541        26145740       28350493         623371932  3310.63 
   atomix_09.in         7               1        110                49    29.05              20          20                11         712782          497993         654431           7117098    22.78 
   atomix_10.in        10               2        156                82  3600.44               0          28                22       15063157        12490804       14593933         265874146  3344.47 
   atomix_11.in         5              14        169                83     6.77              14          14                10           1551            1263           1499             12880     0.54 
