           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
   15-puzzle.in        15               1         36                16    18.82              34          34                10         560221          378994         405385           1058720    14.09 
  adrienl_01.in         7              26        198               122   121.24              20          20                13        1398631         1029327        1317316          15119443    96.83 
  adrienl_02.in         8               7        198               108  3600.29               0          30                21       54201938        40900227       50878249         635078987  3052.21 
  adrienl_03.in         7              43        198               133  3600.48               0          21                10       43108910        30766586       39645164         483170295  2907.88 
  adrienl_04.in         9               1        144                68  3600.31               0          34                24       99157474        71517867       89368688         791079185  3084.96 
  adrienl_05.in         4              64        198               131     6.19              12          12                 6          21030           15523          19188            167830     0.30 
   adrien_01.in         3              54        144                77     5.98               7           7                 6             13              13             13                65     0.00 
   adrien_02.in         5              13        144                81    13.71              17          17                10         334349          234528         302251           2694656     8.29 
   adrien_03.in         6              31        144                75     5.86              12          12                 9           1666            1448           1637             21728     0.07 
   adrien_04.in        10              16        198               119  3600.33               0          24                17       20206198        17299184       19655267         418580777  3057.60 
   adrien_05.in        10              13        180               108  3600.48               0          26                21       23652906        21096248       23323555         467620194  3055.64 
   adrien_06.in         6              15        144                81     7.37              15          15                10          57236           46743          55682            705963     2.67 
   atomix_01.in         3              17        110                45     4.67              13          13                 8            753             416            553              1949     0.00 
   atomix_02.in         5               6        154                61     6.09              21          21                16          10811            7936           9619             61245     0.20 
   atomix_03.in         6               4        169                65     5.43              16          16                12          26233           21263          25601            292084     1.12 
   atomix_04.in         6               2        143                60   197.67              23          23                15        5233284         3570208        4802671          43724282   163.25 
   atomix_05.in         9               2        182                80  3600.34               0          36                28       37969145        30501987       36441991         500081639  3236.37 
   atomix_06.in         8               4         36                16     6.22              13          13                12            153             140            153              1425     0.01 
   atomix_07.in         9               1        169                79  1746.24              27          27                19       30435707        23403156       29123181         406251237  1546.14 
   atomix_08.in        12               1        156                81  3600.34               0          35                31       25901793        23642981       25743664         568263944  3303.91 
