           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
   15-puzzle.in        15               1         36                16     6.23              34          34                 4        2199531         1449449        1580411                 0     0.00 
  adrienl_01.in         7              26        198               122    17.98              20          20                13        1441696         1065456        1359653          15617291     0.00 
  adrienl_02.in         8               7        198               108  2404.35               0          32                21      462072393       349525299      431758132        5202836458     0.00 
  adrienl_03.in         7              43        198               133   543.02              22          22                10       46564570        32557147       42797614         512875597     0.00 
  adrienl_04.in         9               1        144                68  1341.94               0          35                24      429409214       308404667      384908997                 0     0.00 
  adrienl_05.in         4              64        198               131     6.48              12          12                 6          25915           18652          23621            203889     0.00 
   adrien_01.in         3              54        144                77     3.81               7           7                 6             13              13             13                65     0.00 
   adrien_02.in         5              13        144                81     4.61              17          17                10         369445          257095         334502           2960005     0.00 
   adrien_03.in         6              31        144                75     6.44              12          12                 9           3384            2943           3337             41958     0.00 
   adrien_04.in        10              16        198               119  3600.51               0          26                17      249485953       201669307      241420467        4751416023     0.00 
   adrien_05.in        10              13        180               108  3600.52               0          27                21      263565303       231162817      258188347        4758056489     0.00 
   adrien_06.in         6              15        144                81     3.89              15          15                10          78432           63938          76334            937172     0.00 
   atomix_01.in         3              17        110                45     4.01              13          13                 8            779             436            578              2023     0.00 
   atomix_02.in         5               6        154                61     6.41              21          21                16          13639           10003          12160             77745     0.00 
   atomix_03.in         6               4        169                65     3.75              16          16                12          34729           28274          33942            377078     0.00 
   atomix_04.in         6               2        143                60    26.97              23          23                14        9672842         6486813        8824527          78165173     0.00 
   atomix_05.in         9               2        182                80  1691.33               0          37                28      389941495       308404667      369727165        4896337150     0.00 
   atomix_06.in         8               4         36                16     3.62              13          13                12            264             239            264              2407     0.00 
   atomix_07.in         9               1        169                79   375.98              27          27                18       91232636        70033461       87255488                 0     0.00 
   atomix_08.in        12               1        156                81  2919.07               0          35                30      352622407       308404655      347502662                 0     0.00 
   atomix_09.in         7               1        110                49     7.28              20          20                11         912252          645342         841037                 0     0.00 
   atomix_10.in        10               2        156                82  2254.54               0          30                22      376526968       308404663      360178244        6110269611     0.00 
   atomix_11.in         5              14        169                83     3.47              14          14                10           4254            3468           4095             34789     0.00 
   atomix_12.in         9               4         36                16     6.23              14          14                11           2896            2502           2872             28818     0.00 
   atomix_13.in         8               1        110                49    10.07              28          28                23        1863877         1401799        1777994                 0     0.00 
   atomix_14.in        12               1        168                94  2437.98               0          36                31      344604918       308404655      341337507                 0     0.00 
   atomix_15.in        12               1        156                89  2847.86               0          37                32      348548645       308404655      344083347                 0     0.00 
   atomix_16.in         9               2        156                73  1919.94               0          28                20      387754041       308404667      371333307        5096712370     0.00 
   atomix_17.in        15               1        168                90  3601.43               0          36                31      149382695       136166538      148349227                 0     0.00 
   atomix_18.in         8               4         36                16     3.41              13          13                10           1962            1647           1937             18854     0.00 
   atomix_19.in        15               1        156                65  2437.61               0          29                22      314654767       275940990      309048609                 0     0.00 
   atomix_20.in        14               1        143                68   222.35              29          29                24       29894482        26017777       29513396                 0     0.00 
   atomix_21.in        12               2        182               108  3600.52               0          32                27      186597862       168938064      184586348        4040654758     0.00 
   atomix_22.in         8               3        182                85  1289.70              27          27                17      286881166       211551946      271139692        3449467028     0.00 
   atomix_23.in         4              20        168                82     6.43              10          10                 5           1966            1336           1756             11696     0.00 
   atomix_24.in        16               1        100                32  2780.78               0          30                24      313339541       275940986      309792575                 0     0.00 
   atomix_25.in        14               2        182               101  3093.90               0          37                31      291909566       275940994      287808856        7682799918     0.00 
   atomix_26.in         4              17        182               102     6.29              14          14                 7          15017           10026          13596             92385     0.00 
   atomix_27.in        20               1        182                84  3602.09               0          46                42       74474661        70946569       74388064                 0     0.00 
   atomix_28.in        10               1        132                65    65.42              29          29                21       13145066        10300445       12664629                 0     0.00 
   atomix_29.in         8               2        182                79     4.73              22          22                17         349252          293378         342270           5220381     0.00 
   atomix_30.in         8               4         36                16     6.31              13          13                10           1962            1647           1937             18854     0.00 
      kai_01.in         3               9        100                39     6.64               9           9                 4            211             149            192               876     0.00 
      kai_02.in         5               2        132                54     4.24              24          24                15         386635          245108         337499           2234446     0.00 
      kai_03.in         6               4        169                65     3.58              16          16                12          34730           28274          33944            377186     0.00 
      kai_05.in         8               2        132                67   345.85              27          27                18       91593513        67575441       86059414         995278316     0.00 
      kai_06.in         4              16        143                72     3.46              14          14                 9           7398            5168           6696             45214     0.00 
      kai_07.in        12               1        156                81  2352.99               0          34                29      349777713       308404655      343730649                 0     0.00 
      kai_08.in        12               1        169                72  2112.99               0          36                32      338330771       308404655      335526370                 0     0.00 
      kai_09.in        10               1        180                78  2093.60               0          36                29      381832194       308404663      370105702                 0     0.00 
      kai_11.in         5               7        132                52     6.47              15          15                10          15976           11699          15037            114602     0.00 
      kai_12.in        15               1        182                97  3112.42               0          36                31      304295196       275940990      302108765                 0     0.00 
      kai_14.in        14               2        182                76  3600.48               0          41                37      281538948       257711396      279604836        6358027460     0.00 
      kai_17.in         8               3        169                80     6.04              23          23                19         564839          498465         559517           9227100     0.00 
      kai_18.in        12               1        182                89  2168.73               0          35                29      344554940       308404655      341453889                 0     0.00 
      kai_19.in         4              21        156                73     6.30              19          19                13          30650           19321          24928            134685     0.00 
      kai_20.in        12               1        196                90  2610.11               0          39                33      347164157       308404655      343053238                 0     0.00 
      kai_21.in        14               1        225               101  2456.25               0          43                39      305119152       275940994      302822139                 0     0.00 
      kai_22.in        12               1        169                85  2251.99               0          34                29      359394051       308404655      352759306                 0     0.00 
      kai_24.in        14               1        210                79  2601.79               0          41                37      293909014       275940994      293116060                 0     0.00 
      kai_25.in        14               1        210                95  3288.28               0          35                28      311338727       275940994      307143479                 0     0.00 
      kai_27.in        19               1        225               112  3600.50               0          60                58      165969087       162465789      165955484                 0     0.00 
      kai_28.in        16               1        225               106  3222.23               0          47                43      294799428       275940986      294007609                 0     0.00 
      kai_29.in        21               1        210                87  3600.50               0          63                61      180294161       175149120      180100642                 0     0.00 
