          Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions    Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime
  15-puzzle.in     15.00            1.00      36.00             16.00    6.07           34.00       34.00              8.30      802244.70       534423.60      582193.50        1503868.10     0.26
 adrienl_01.in      7.00           26.00     198.00            122.00  149.03           20.00       20.00             13.00     1272785.90       928299.10     1195720.60       13650783.70    34.86
 adrienl_02.in      8.00            7.00     198.00            108.00 3600.51            0.00       32.00             21.80   174411378.80    131349061.80   163321656.70     1986759527.00  1759.31
 adrienl_03.in      7.00           43.00     198.00            133.00 2823.13           22.00       22.00             10.00    36361926.00     25345443.00    33400228.00      401616744.00  1221.79
 adrienl_04.in      9.00            1.00     144.00             68.00 1820.09            0.00       35.00             24.00   388575922.40    274055130.00   348703257.40     3069359445.30   362.21
 adrienl_05.in      4.00           64.00     198.00            131.00  101.46           12.00       12.00              7.00       20197.50        14982.60       18490.60         160136.80     0.97
  adrien_01.in      3.00           54.00     144.00             77.00   36.71            7.00        7.00              6.00          11.00           11.00          11.00             57.00     0.00
  adrien_02.in      5.00           13.00     144.00             81.00   18.37           17.00       17.00             10.00      291001.30       203794.40      264086.20        2367521.40     3.25
  adrien_03.in      6.00           31.00     144.00             75.00   41.21           12.00       12.00              9.00        1126.00          953.50        1110.00          14660.00     0.06
  adrien_04.in     10.00           16.00     198.00            119.00 3600.48            0.00       25.00             17.70    44407290.10     38076097.60    43312500.80      875163247.10  1854.42
  adrien_05.in     10.00           13.00     180.00            108.00 3587.71            2.80       27.10             21.40    51565013.80     46788890.20    50830299.70      955830558.80  1897.90
  adrien_06.in      6.00           15.00     144.00             81.00   26.54           15.00       15.00             11.00       32888.20        27498.30       32174.90         417083.20     0.74
  atomix_01.in      3.00           17.00     110.00             45.00    5.09           13.00       13.00              8.00         573.00          325.00         426.00           1543.00     0.00
  atomix_02.in      5.00            6.00     154.00             61.00    4.76           21.00       21.00             17.00        8883.80         6561.40        8033.50          50696.30     0.03
  atomix_03.in      6.00            4.00     169.00             65.00    5.92           16.00       16.00             12.00       15982.60        13287.00       15688.10         186545.50     0.08
  atomix_04.in      6.00            2.00     143.00             60.00   22.61           23.00       23.00             15.00     3467211.10      2416966.90     3208199.60       29667441.10     6.18
