           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
   15-puzzle.in        15               1         36                16     5.11              34          34                 8         909905          608230         659646           1701099     0.27 
  adrienl_01.in         7              26        198               122   142.29              20          20                13        1274226          928944        1196787          13636355    33.00 
  adrienl_02.in         8               7        198               108  3600.54               0          32                22      180443891       135093726      169512747        2079158509  1759.37 
  adrienl_03.in         7              43        198               133  2873.53              22          22                10       36361926        25345443       33400228         401616744  1184.84 
  adrienl_04.in         9               1        144                68  1736.94               0          35                24      390530389       274055130      349727474        3052605322   343.32 
  adrienl_05.in         4              64        198               131    97.43              12          12                 7          19107           14357          17528            151621     0.87 
   adrien_01.in         3              54        144                77    34.85               7           7                 6             11              11             11                57     0.00 
   adrien_02.in         5              13        144                81    17.21              17          17                10         289402          202641         262779           2356079     3.11 
   adrien_03.in         6              31        144                75    38.60              12          12                 9           1119             947           1103             14570     0.06 
   adrien_04.in        10              16        198               119  3600.54               0          25                18       46558021        39024891       45366620         918623045  1867.40 
   adrien_05.in        10              13        180               108  3600.52               0          27                22       53502421        46978336       52805466        1004153306  1901.33 
   adrien_06.in         6              15        144                81    25.37              15          15                11          32401           27102          31695            410850     0.70 
   atomix_01.in         3              17        110                45     4.62              13          13                 8            573             325            426              1543     0.00 
   atomix_02.in         5               6        154                61     4.41              21          21                17           8016            5980           7276             46125     0.03 
   atomix_03.in         6               4        169                65     5.60              16          16                12          19375           15947          18976            224602     0.09 
   atomix_04.in         6               2        143                60    20.99              23          23                15        3415819         2383964        3162016          29310661     5.80 
   atomix_05.in         9               2        182                80  3325.49               0          38                28      392064317       299893748      371194728        4785433419  1118.84 
   atomix_06.in         8               4         36                16     2.85              13          13                12            152             141            152              1515     0.00 
   atomix_07.in         9               1        169                79   230.29              27          27                19       33327721        25731123       32001300         453772951    45.98 
   atomix_08.in        12               1        156                81  3426.70               0          35                30      315091632       272943832      310797601        6350318173   819.98 
   atomix_09.in         7               1        110                49     6.07              20          20                11         757084          556342         696867           7579684     0.76 
   atomix_10.in        10               2        156                82  3600.51               0          30                23      314751369       257422366      303824043        5072167858  1230.91 
   atomix_11.in         5              14        169                83    11.38              14          14                10           1547            1260           1495             12856     0.02 
   atomix_12.in         9               4         36                16     2.77              14          14                12            150             145            150              1612     0.00 
   atomix_13.in         8               1        110                49     4.46              28          28                24         290194          232701         282261           3526406     0.34 
   atomix_14.in        12               1        168                94  3393.91               0          36                31      304225083       272197608      300663311        6456789453   835.91 
   atomix_15.in        12               1        156                89  3471.71               0          37                32      311199653       272943832      306677621        6682301280   862.70 
   atomix_16.in         9               2        156                73  2041.54              29          29                20      201900267       156982540      193150023        2605375284   603.02 
   atomix_17.in        15               1        168                90  3600.54               0          37                32      134021570       124313723      133584962        3879789285   656.04 
   atomix_18.in         8               4         36                16     2.98              13          13                10            624             537            617              6705     0.00 
   atomix_19.in        15               1        156                65  3600.55               0          30                24      270615690       239373186      267480372        6016960377  1033.07 
   atomix_20.in        14               1        143                68    50.46              29          29                25        3560098         3237176        3541076          83118976    13.30 
