           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
   15-puzzle.in        15               1         36                16     6.05              34          34                 8         908865          607963         659204           1701636     0.30 
  adrienl_01.in         7              26        198               122   158.17              20          20                13        1274140          928817        1196960          13866097    39.17 
  adrienl_02.in         8               7        198               108  3600.51               0          32                22      157382353       119094904      148836075        1885331051  1788.46 
  adrienl_03.in         7              43        198               133  2954.28              22          22                10       36341623        25300730       33427064         407130428  1271.97 
  adrienl_04.in         9               1        144                68  2066.28               0          35                24      385394475       274055130      356411480        3294942671   416.97 
  adrienl_05.in         4              64        198               131   103.09              12          12                 7          19059           14272          17703            153260     1.03 
   adrien_01.in         3              54        144                77    37.83               7           7                 6             11              11             11                57     0.00 
   adrien_02.in         5              13        144                81    18.93              17          17                10         289715          202241         265739           2409832     3.57 
   adrien_03.in         6              31        144                75    41.54              12          12                 9           1119             947           1103             14544     0.06 
   adrien_04.in        10              16        198               119  3600.48               0          25                18       42162004        36955888       41166241         834550784  1887.47 
   adrien_05.in        10              13        180               108  3600.49               0          27                22       47211455        43808976       46610819         902117709  1947.77 
   adrien_06.in         6              15        144                81    26.92              15          15                11          29828           24771          29129            379812     0.73 
   atomix_01.in         3              17        110                45     5.15              13          13                 8            571             320            433              1617     0.00 
   atomix_02.in         5               6        154                61     4.61              21          21                17           8101            5988           7524             49666     0.03 
   atomix_03.in         6               4        169                65     5.89              16          16                12          19375           15946          18982            228791     0.10 
   atomix_04.in         6               2        143                60    24.74              23          23                15        3419256         2383947        3174230          30293175     6.95 
   atomix_05.in         9               2        182                80  3428.61               0          38                28      351523021       268325981      333974196        4399372621  1150.45 
   atomix_06.in         8               4         36                16     3.40              13          13                12            132             124            132              1345     0.00 
   atomix_07.in         9               1        169                79   240.07              27          27                19       33328812        25731123       32014635         463612306    55.25 
   atomix_08.in        12               1        156                81  3600.47               0          35                30      288779599       250322843      285989399        6064649460   869.74 
   atomix_09.in         7               1        110                49     7.02              20          20                11         682548          472307         630664           6966194     0.71 
   atomix_10.in        10               2        156                82  3600.52               0          30                23      271269909       221149261      262909021        4522737262  1227.87 
   atomix_11.in         5              14        169                83    12.10              14          14                10           1500            1214           1449             12622     0.02 
   atomix_12.in         9               4         36                16     4.01              14          14                12            141             137            141              1550     0.00 
   atomix_13.in         8               1        110                49     5.44              28          28                24         290146          232658         282213           3705500     0.39 
   atomix_14.in        12               1        168                94  3600.51               0          36                31      280550000       250836537      278595276        6232341291   899.21 
   atomix_15.in        12               1        156                89  3600.47               0          37                32      275560598       244087637      272614513        6170351139   981.31 
   atomix_16.in         9               2        156                73  2137.41              29          29                20      201974535       156982544      193556809        2717614605   720.84 
