           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
   15-puzzle.in        15               1         36                16     6.21              34          34                 8        1027862          689595         758739           1937195     0.34 
  adrienl_01.in         7              26        198               122   159.06              20          20                13        1359431          998900        1276924          14692500    38.47 
  adrienl_02.in         8               7        198               108  3600.52               0          32                22      165825208       124991077      154826150        1913137858  1756.31 
  adrienl_03.in         7              43        198               133  3600.50               0          22                10       44632992        31434939       40882687         505655036  1570.11 
  adrienl_04.in         9               1        144                68  1854.19               0          35                24      390573099       274055130      349753841        3051183756   359.29 
  adrienl_05.in         4              64        198               131   104.74              12          12                 7          19753           14829          17995            154889     1.00 
   adrien_01.in         3              54        144                77    38.00               7           7                 6              9              11              9                49     0.00 
   adrien_02.in         5              13        144                81    19.11              17          17                10         301037          211672         273020           2479367     3.56 
   adrien_03.in         6              31        144                75    41.99              12          12                 9           3192            2647           3061             38258     0.16 
   adrien_04.in        10              16        198               119  3600.49               0          25                18       42814945        36199798       41636971         857043778  1888.12 
   adrien_05.in        10              13        180               108  3600.39               0          27                22       49512507        43865361       48785562         938629194  1925.78 
   adrien_06.in         6              15        144                81    30.58              15          15                11         109303           89711         105552           1306926     2.37 
   atomix_01.in         3              17        110                45     5.26              13          13                 8            596             333            439              1586     0.00 
   atomix_02.in         5               6        154                61     4.94              21          21                17          10543            8111           9497             61048     0.04 
   atomix_03.in         6               4        169                65     6.34              16          16                12          33409           27695          32020            377536     0.17 
   atomix_04.in         6               2        143                60    26.96              23          23                15        4057424         2855754        3733523          34738360     7.59 
   atomix_05.in         9               2        182                80  3600.49               0          38                28      381596837       289325852      358800799        4574488405  1155.30 
   atomix_06.in         8               4         36                16     3.45              13          13                12            221             239            221              2369     0.00 
   atomix_07.in         9               1        169                79   249.57              27          27                19       38542677        30052978       36976079         526251424    59.12 
   atomix_08.in        12               1        156                81  3600.51               0          35                30      308900468       270751542      304504091        6330508527   892.11 
   atomix_09.in         7               1        110                49    11.19              20          20                11        1739663         1185234        1595441          17127591     1.67 
   atomix_10.in        10               2        156                82  3600.50               0          30                23      293197508       231892589      283119997        4809077364  1256.89 
   atomix_11.in         5              14        169                83    12.44              14          14                10           4079            3343           3894             33657     0.05 
   atomix_12.in         9               4         36                16     3.97              14          14                12            729             708            729              8364     0.00 
   atomix_13.in         8               1        110                49     5.74              28          28                24         378820          310250         365063           4665675     0.48 
   atomix_14.in        12               1        168                94  3559.05               0          36                31      302491101       272197608      298135586        6351186844   889.43 
   atomix_15.in        12               1        156                89  3600.48               0          37                32      304702965       267134895      300152269        6517485448   911.14 
   atomix_16.in         9               2        156                73  2662.87              29          29                20      266011161       209481488      253630974        3498059455   894.12 
   atomix_17.in        15               1        168                90  3600.51               0          37                32      134051984       124661632      133010218        3812370141   699.22 
   atomix_18.in         8               4         36                16     3.60              13          13                10           1224            1062           1199             12432     0.01 
   atomix_19.in        15               1        156                65  3600.48               0          30                24      256179627       226678587      253289897        5886655909  1059.84 
   atomix_20.in        14               1        143                68   167.16              29          29                25       12540742        11641823       12443939         291763998    49.94 
   atomix_21.in        12               2        182               108  3600.48               0          32                27      115390306       105205751      114266225        2671733429   807.73 
   atomix_22.in         8               3        182                85   950.78              27          27                18       79880405        60830393       75712667        1010941582   377.04 
   atomix_23.in         4              20        168                82    15.57              10          10                 8            168             163            166              1384     0.00 
   atomix_24.in        16               1        100                32  3600.52               0          31                24      262835609       232715642      259870236        5009127347   944.95 
   atomix_25.in        14               2        182               101  3600.50               0          37                31      142475079       129696068      140545509        4085670052  1508.53 
   atomix_26.in         4              17        182               102    24.87              14          14                 7          12033            8085          10798             73382     0.16 
   atomix_27.in        20               1        182                84  3600.49               0          46                43       71776989        68747767       71681692        2726531723   669.00 
   atomix_28.in        10               1        132                65   133.94              29          29                21       18309480        14363497       17453363         277389832    35.14 
   atomix_29.in         8               2        182                79     7.56              22          22                18         145782          126119         142554           2268577     0.55 
   atomix_30.in         8               4         36                16     3.58              13          13                10           1224            1062           1199             12432     0.01 
      kai_01.in         3               9        100                39     4.48               9           9                 4            155             110            140               663     0.00 
      kai_02.in         5               2        132                54     4.23              24          24                16         150014          100650         132876            896498     0.17 
      kai_03.in         6               4        169                65     6.70              16          16                12          35141           29633          33834            399424     0.17 
      kai_05.in         8               2        132                67   243.13              27          27                18       30138527        22289378       28303031         333138309    81.94 
      kai_06.in         4              16        143                72    10.57              14          14                 9           4670            3341           4260             29528     0.05 
      kai_07.in        12               1        156                81  3290.98               0          34                29      319536124       272943832      312672709        6221198995   814.15 
      kai_08.in        12               1        169                72  3215.27               0          37                32      302923008       272130363      299437409        5880461379   823.88 
      kai_09.in        10               1        180                78  2771.41               0          36                29      333130495       272257642      321594618        5339993254   685.53 
      kai_11.in         5               7        132                52     4.74              15          15                11          11016            8534          10396             81019     0.06 
      kai_12.in        15               1        182                97  3600.50               0          37                32      195100792       179334800      193735298        6363947684  1169.35 
      kai_14.in        14               2        182                76  3600.51               0          42                38      147512378       136896629      146132168        3366929355  1220.93 
      kai_17.in         8               3        169                80    21.88              23          23                19        1070264          934874        1052452          17472846     6.30 
      kai_18.in        12               1        182                89  3600.49               0          36                30      287454207       257405657      283392235        6986010375   971.05 
      kai_19.in         4              21        156                73    14.44              19          19                13          46748           29363          37663            205858     0.50 
      kai_20.in        12               1        196                90  3465.01               0          39                33      305804115       269996632      301110291        6261944709   874.58 
      kai_21.in        14               1        225               101  3600.51               0          43                39      256721803       237260903      254138697        5700157179   963.48 
      kai_22.in        12               1        169                85  3503.19               0          35                29      317385265       272130363      311207218        6180917311   855.50 
      kai_24.in        14               1        210                79  3600.50               0          41                37      246468422       234184826      245268834        6024912221  1037.47 
      kai_25.in        14               1        210                95  3600.50               0          35                28      225467323       196901582      221572007        6204416592  1125.13 
      kai_27.in        19               1        225               112  3600.50               0          61                58      107476380       104711240      107218914        4370598402   984.13 
      kai_28.in        16               1        225               106  3600.49               0          47                43      192180246       181582168      191253556        6339667385  1157.85 
      kai_29.in        21               1        210                87  3600.48               0          64                61      108934106       104874157      108686904        3962326449   960.94 
  katomic_01.in         3              23         99                49     6.71              15          15                 8            882             477            652              2237     0.01 
  katomic_02.in         5              10        143                64     7.67              27          27                18         147486           87229         122333            740112     0.78 
  katomic_03.in         6               4        156                66    11.27              20          20                14         576992          442654         542399           5209017     2.30 
  katomic_04.in         6               8        121                45     8.65              23          23                15         342332          224950         303780           2054448     1.86 
  katomic_05.in         9               2        132                52    60.22              27          27                21        6636018         5476791        6461941          83785530    21.40 
  katomic_06.in         9               1        144                50   203.01              27          27                15       38386827        26412645       35169466         416023713    48.02 
  katomic_07.in        12               8        169                68   501.76              24          24                18        9219634         8114100        9104004         180070329   240.25 
  katomic_08.in         7               1        121                61   214.17              26          26                14       51557544        35978333       47017543         425728038    44.72 
  katomic_09.in        10               1        169                81   495.12              32          32                24       66572746        55002604       64501574        1038703106   129.96 
  katomic_10.in         5               8        169                84     8.35              19          19                16           2009            1596           1899             12621     0.01 
  katomic_11.in         8               4        121                71   110.72              23          23                17        6024365         5090473        5855939          94432010    46.90 
  katomic_12.in        12               8        169                93  3600.48               0          36                28       83480728        68535206       80251968        1346736934  1743.91 
  katomic_13.in        12               1        169                87  3297.80               0          42                38      297858854       272130363      294306043        6115940636   844.13 
  katomic_14.in         9               1        169                85   525.22              29          29                20       86650386        63365663       81840205        1042683551   121.39 
  katomic_15.in        15               1        169                87  3600.49               0          36                31      140136610       126645004      138469449        3381973870   655.26 
  katomic_16.in        15               1        169                69  3600.51               0          44                39      268833813       245247363      266898885        5799660288  1020.91 
  katomic_17.in        14               2        143                73  3600.50               0          34                27      162078374       143909883      160555696        3780453670  1511.31 
  katomic_18.in        12               4        169                90  2542.94              47          47                44       49182390        47708385       49012215         933711586   579.73 
  katomic_19.in         8               2        195               103  1855.03              32          32                22      202538980       149843074      189638597        2591176813   626.03 
  katomic_20.in         4              16        169                83    12.26              18          18                13           5232            3456           4454             20420     0.04 
  katomic_21.in        16               1        144                32  3600.52               0          27                20      280199303       232738128      274771336        4854641566   983.46 
  katomic_22.in        14               4        169                90  3600.47               0          32                26       87903124        74664548       87189615        2137419620  1836.56 
  katomic_23.in         4              32        169                93    32.04              18          18                 8          29825           16379          23849            121297     0.46 
  katomic_24.in        20              10        195               115  3600.49               0          36                33        7270551         7009223        7234531         291482218   484.01 
  katomic_25.in        10               1        143                73  2560.87               0          36                29      332770067       274094143      321484950        4695300876   590.80 
  katomic_26.in         7               3        169                81   185.72              36          36                27       27656882        18079156       24255115         193601406    66.05 
  katomic_27.in        12               1        169                81  3523.62               0          48                43      298100208       272130363      295318058        6084686748   847.24 
  katomic_28.in        12               1        169                73  3301.16               0          38                32      323872351       272130363      314187613        5693055665   791.00 
  katomic_29.in        15               1        169                71  3166.61               0          57                54      259342993       245523625      258574416        5244246852   898.07 
  katomic_30.in        21               1        169                72  3600.52               0          53                51      132707029       129118054      132489114        3988148898  1002.60 
  katomic_31.in         8               2        121                54    66.92              29          29                20        8149397         6058896        7611369          96714097    22.28 
  katomic_32.in         9               5         81                25    11.41              19          19                14         486702          412973         476794           5798744     3.90 
  katomic_33.in        10               4        169                72  3600.45               0          52                43      225337244       165797498      220117523        2738330512  1537.41 
  katomic_34.in        13               1        169                96  3600.46               0          38                32      235534543       213324338      232684920        6018332196   931.72 
  katomic_35.in        10               1         99                47  2293.39               0          35                28      365858183       275328190      343760597        4360228273   515.69 
  katomic_36.in         3              21        143                52     7.20               9           9                 4            727             486            648              3659     0.01 
  katomic_37.in        24               1        225               134  3600.51               0          56                52       82100084        79881897       82005981        3890850062  1008.87 
  katomic_38.in         9               1        169                89  2424.50               0          35                22      382578425       272892503      353483268        4471711756   540.53 
  katomic_39.in        17               1        169                77  3600.47               0          48                43      228596639       212143028      226988599        5950056363  1168.12 
  katomic_40.in        16               1        121                61  3600.50               0          59                52      252912741       210323972      246641597        4759859426   838.82 
  katomic_41.in        15               4        169                81  3600.51               0          35                30       74118211        66884991       73212884        1909215584  1546.08 
  katomic_42.in        12               1        121                51  3600.48               0          36                29      314583382       261464657      305477968        4952327567   706.47 
  katomic_43.in        26               1        169                86  3600.50               0          65                63       86037383        85536627       86037382        3601507485  1071.26 
  katomic_44.in        21               1        156                65  3600.51               0          51                47      134777472       127149407      133713471        4060500214  1022.30 
  katomic_45.in        14               1        156                63  3355.87               0          41                37      260515164       246949168      259022884        6220529855  1006.49 
  katomic_46.in         7               3        143                53     7.23              24          24                19         329025          256110         307310           2838016     0.96 
  katomic_47.in        11               1        121                60     6.32              29          29                27         146885          141651         146392           3210797     0.42 
  katomic_48.in        17               1        169                79  3600.48               0          58                54      196528878       188005231      196195393        5357187601  1150.67 
  katomic_49.in        18               1        143                71  3600.49               0          47                42      176250690       162751595      174748699        4697401021   958.10 
  katomic_50.in        17               2        121                61  3600.50               0          43                36      134004316       122029853      132710103        2814924931  1209.03 
  katomic_51.in        16               1        169                82  3600.45               0          40                35      242434141       219763456      240120330        5577772953  1103.73 
  katomic_52.in        19               1        169                84  3600.49               0          55                52      143399909       139402174      142954023        4214811470   922.12 
  katomic_53.in        16               2         63                35  3600.51               0          27                20      115446677       102095892      114221843        2975101087  1328.84 
  katomic_54.in        16               1        169                81  3600.50               0          37                31      249949085       228977646      247460261        6091294716  1138.59 
  katomic_55.in        15               1        169                83  3600.48               0          49                44      233583163       212428508      230828664        5103033069   885.59 
  katomic_56.in        15               1        169                79  3600.50               0          51                45      226671407       208137189      225339403        5107052159   866.49 
  katomic_57.in         5               3        132                45     3.89              21          21                16          44332           31735          40683            260851     0.08 
  katomic_58.in         6               3        121                60     5.34              17          17                13          49156           38711          46805            488656     0.16 
  katomic_59.in        16               4        121                49  3600.42               0          28                22       75626611        67884557       74960373        2349663998  1944.74 
  katomic_60.in         7               4        121                54     6.35              19          19                15         102125           82886          97771           1056976     0.49 
  katomic_61.in        10               2        117                58  3592.41               0          55                48      399242754       306143563      377469957        4534801117  1147.48 
  katomic_62.in        12               1        225                96  3016.84               0          52                46      302460045       266948403      298209929        5351920474   755.70 
  katomic_63.in        12               2        143                70  3600.51               0          42                33      325775006       248165791      308727435        4395396535  1256.04 
  katomic_64.in        16               2        195                98  3600.52               0          54                50      141637488       132989245      140554844        3139356943  1339.02 
  katomic_65.in        17               1         81                25   418.43              32          32                26       51322110        43501710       50276672         682550606   127.40 
  katomic_66.in        11               1        169                78  3124.38               0          33                26      326587710       272892495      317441356        5767919467   783.33 
  katomic_67.in        12               2        121                54  3600.45               0          33                25      287794118       240389706      279748282        4141574673  1185.71 
  marbles_01.in         4               2         64                21     4.04              11          11                 7            763             486            634              2938     0.00 
  marbles_02.in         5               5         90                38     4.45              15          15                10          22637           17354          21160            155598     0.08 
  marbles_03.in         4               5         99                39     4.36              22          22                10          73835           37626          51693            196657     0.10 
  marbles_04.in         3              18        100                49     6.17              22          22                 5           3955            1898           2547              8186     0.02 
  marbles_05.in         5               2         81                34     4.58              25          25                15          73880           42734          58878            292653     0.06 
  marbles_06.in         5               3        120                41     4.18              14          14                12            490             436            478              3088     0.00 
  marbles_08.in         6               3        100                48    29.19              23          23                12        5048108         3213121        4207075          24664519     8.36 
  marbles_10.in        16               1         48                20     4.97              24          24                16          16099           12323          15466             97364     0.02 
  marbles_11.in         8               1        169                59   142.41              28          28                19       25584833        17698405       23589618         207876617    23.13 
  marbles_12.in         6               3         84                40    92.81              28          28                13       17305656         9207402       13615028          81516877    27.71 
  marbles_13.in         3               3         64                27     4.20              18          18                 6           7137            3605           4025             11929     0.00 
  marbles_14.in         6               1        110                27     4.03              22          22                17          26553           16466          21293             89953     0.01 
  marbles_15.in        12               1        169                62  3600.50               0          37                31      128817615       109151136      124976519        2000836982   300.39 
  marbles_20.in        32               1         64                36  3600.49               0          38                28       76684169        58088449       72229294         551909124   189.76 
 unitopia_01.in         3              41        128                68    19.46              11          11                 9            157             128            131               582     0.00 
 unitopia_02.in         4               5        128                62     4.97              22          22                14          86135           53390          69831            334853     0.17 
 unitopia_03.in         5              12        128                56     5.79              16          16                14           1207            1072           1184              9129     0.01 
 unitopia_04.in         6               5        128                59     5.81              20          20                19           8194            7519           8156             73018     0.04 
 unitopia_05.in         6               7        128                68    16.99              20          20                13         575494          424106         534886           5112427     3.98 
 unitopia_06.in         9               2        128                61   331.81              31          31                24       33931327        27804252       32973769         465298188   116.20 
 unitopia_07.in        10               1        128                60  1834.49              36          36                27      275949694       211769286      263065991        3255499090   417.07 
 unitopia_08.in         7               4        128                59    15.61              23          23                17         961826          749163         913064           9669568     4.33 
 unitopia_09.in        12               2        128                60  3600.51               0          44                39      290490444       250399539      283794110        4144538322  1204.60 
 unitopia_10.in         8               2        128                57  1575.69              41          41                29      261247808       176651754      234907066        2058255671   487.95 
