           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
   15-puzzle.in        15               1         36                16     7.60              34          34                 8         904108          603844         657204           1695790     0.29 
  adrienl_01.in         7              26        198               122   159.37              20          20                13        1275555          929776        1198509          14108209    39.05 
  adrienl_02.in         8               7        198               108  3600.26               0          32                22      152668647       114160030      144943799        1869172863  1804.75 
  adrienl_03.in         7              43        198               133  3050.67              22          22                10       36352242        25297927       33472798         421285854  1333.30 
  adrienl_04.in         9               1        144                68  2017.14               0          35                24      385394334       274055130      356411540        3295011102   422.49 
  adrienl_05.in         4              64        198               131   117.58              12          12                 7          19021           14240          17698            154104     1.04 
   adrien_01.in         3              54        144                77    39.05               7           7                 6              9              11              9                49     0.00 
   adrien_02.in         5              13        144                81    19.79              17          17                10         289892          202219         266678           2468461     3.80 
   adrien_03.in         6              31        144                75    42.83              12          12                 9           1119             947           1103             14546     0.06 
   adrien_04.in        10              16        198               119  3600.25               0          25                18       40808055        33940759       40254972         830157113  1904.56 
   adrien_05.in        10              13        180               108  3600.24               0          27                22       46342998        40451946       46003928         905663904  1971.01 
   adrien_06.in         6              15        144                81    27.67              15          15                11          27487           22668          26926            353836     0.72 
   atomix_01.in         3              17        110                45     6.42              13          13                 8            579             320            450              1675     0.00 
   atomix_02.in         5               6        154                61     5.08              21          21                17           8293            6109           7723             51148     0.03 
   atomix_03.in         6               4        169                65     6.33              16          16                12          19375           15946          18983            230250     0.10 
   atomix_04.in         6               2        143                60    26.65              23          23                15        3419527         2383943        3175216          30603826     7.18 
   atomix_05.in         9               2        182                80  3600.51               0          38                28      376222350       284598115      358733889        4787605928  1243.47 
   atomix_06.in         8               4         36                16     4.88              13          13                12            142             135            142              1459     0.00 
   atomix_07.in         9               1        169                79   230.88              27          27                19       33328904        25731138       32015061         464795372    56.19 
   atomix_08.in        12               1        156                81  3600.24               0          35                30      299103830       259134918      296713460        6330635909   936.98 
   atomix_09.in         7               1        110                49     7.34              20          20                11         670877          458913         620479           7054669     0.72 
   atomix_10.in        10               2        156                82  3600.24               0          30                23      273067374       213233766      266255947        4679645840  1288.88 
   atomix_11.in         5              14        169                83    12.64              14          14                10           1482            1198           1438             12604     0.02 
   atomix_12.in         9               4         36                16     4.17              14          14                12            141             137            141              1567     0.00 
   atomix_13.in         8               1        110                49     5.72              28          28                24         290141          232656         282207           3767593     0.43 
   atomix_14.in        12               1        168                94  3600.52               0          36                31      298834892       266635253      297588377        6668090361   946.05 
   atomix_15.in        12               1        156                89  3600.22               0          37                32      303567511       265521265      301324603        6773116842   978.60 
   atomix_16.in         9               2        156                73  1996.31              29          29                20      201974907       156982543      193561477        2723177782   698.55 
   atomix_17.in        15               1        168                90  3600.49               0          37                32      129919855       119829326      129643985        3798159087   707.26 
