           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
   15-puzzle.in        15               1         36                16     6.02              34          34                 8         904063          603821         657128           1695675     0.30 
  adrienl_01.in         7              26        198               122   158.28              20          20                13        1274350          928908        1197306          14101201    38.79 
  adrienl_02.in         8               7        198               108  3600.43               0          32                22      154893571       115477122      146871513        1890057671  1789.39 
  adrienl_03.in         7              43        198               133  3055.63              22          22                10       36352476        25298160       33472957         421046779  1327.24 
  adrienl_04.in         9               1        144                68  2063.98               0          35                24      385394471       274055130      356411522        3295010851   411.10 
  adrienl_05.in         4              64        198               131   104.75              12          12                 7          19044           14256          17720            154314     1.04 
   adrien_01.in         3              54        144                77    38.59               7           7                 6             11              11             11                57     0.00 
   adrien_02.in         5              13        144                81    19.39              17          17                10         289905          202189         266689           2464361     3.65 
   adrien_03.in         6              31        144                75    42.92              12          12                 9           1119             947           1103             14544     0.06 
   adrien_04.in        10              16        198               119  3600.51               0          25                18       41507949        34334714       40877981         836845968  1884.29 
   adrien_05.in        10              13        180               108  3600.23               0          27                22       46214770        40287635       45846488         899079296  1947.62 
   adrien_06.in         6              15        144                81    27.36              15          15                11          28464           23409          27865            365261     0.71 
   atomix_01.in         3              17        110                45     5.20              13          13                 8            569             313            441              1669     0.00 
   atomix_02.in         5               6        154                61     4.62              21          21                17           8179            6023           7605             50289     0.03 
   atomix_03.in         6               4        169                65     6.00              16          16                12          19375           15946          18983            230347     0.10 
   atomix_04.in         6               2        143                60    24.80              23          23                15        3419494         2383947        3175181          30588916     7.21 
   atomix_05.in         9               2        182                80  3526.42               0          38                28      355650567       268325981      338588179        4497936876  1170.36 
   atomix_06.in         8               4         36                16     3.40              13          13                12            132             124            132              1345     0.00 
   atomix_07.in         9               1        169                79   249.80              27          27                19       33328879        25731123       32015036         464566515    56.50 
   atomix_08.in        12               1        156                81  3600.30               0          35                30      284749680       246766379      282334204        6038806616   871.89 
   atomix_09.in         7               1        110                49     7.15              20          20                11         671304          459252         620823           7048244     0.73 
   atomix_10.in        10               2        156                82  3600.23               0          30                23      268233917       208883053      261274791        4579024376  1243.39 
   atomix_11.in         5              14        169                83    12.39              14          14                10           1482            1198           1438             12592     0.02 
   atomix_12.in         9               4         36                16     3.58              14          14                12            141             137            141              1565     0.00 
   atomix_13.in         8               1        110                49     5.28              28          28                24         290146          232657         282213           3770062     0.39 
   atomix_14.in        12               1        168                94  3600.23               0          36                31      278081612       249044239      276592726        6232442937   906.41 
   atomix_15.in        12               1        156                89  3600.45               0          37                32      284852104       249668103      282168124        6397538578   914.77 
   atomix_16.in         9               2        156                73  2155.10              29          29                20      201974979       156982543      193561549        2723401699   728.45 
   atomix_17.in        15               1        168                90  3600.22               0          37                32      122475824       112771423      122163005        3575553473   677.64 
   atomix_18.in         8               4         36                16     3.57              13          13                10            624             537            617              6774     0.00 
   atomix_19.in        15               1        156                65  3600.52               0          30                24      243980146       211513178      242047959        5574988952  1017.86 
   atomix_20.in        14               1        143                68    57.71              29          29                25        3560205         3237176        3541206          85456772    14.80 
   atomix_21.in        12               2        182               108  3600.21               0          32                27      111268775        98619831      110857399        2582120200   825.44 
   atomix_22.in         8               3        182                85   748.89              27          27                18       57778124        43666675       55086748         759849564   298.82 
   atomix_23.in         4              20        168                82    15.71              10          10                 8             98              86             96               779     0.00 
   atomix_24.in        16               1        100                32  3600.22               0          31                24      238573399       209987208      237008343        4756237180   903.29 
   atomix_25.in        14               2        182               101  3600.23               0          37                31      133527453       119076518      132673393        3842741503  1477.46 
   atomix_26.in         4              17        182               102    25.45              14          14                 7          10931            7312           9921             69184     0.15 
   atomix_27.in        20               1        182                84  3600.51               0          46                43       65444245        62165075       65406288        2513500523   628.13 
   atomix_28.in        10               1        132                65    82.78              29          29                21       10407235         8059479        9995951         161856469    20.40 
   atomix_29.in         8               2        182                79     6.72              22          22                18          97486           82251          95786           1515917     0.37 
   atomix_30.in         8               4         36                16     3.59              13          13                10            624             537            617              6774     0.00 
